,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,cols_x,cols_y,dropout,learning_rate,learning_rate_decay,loss,mean_absolute_error,seq_len,session,time,batch_norm,time_distributed
18,,,,x1,y1,0.0,0.01,0.0,229.60025658066158,4.305296897888184,10,models/model-6/20190603110134,5:9,True,True
19,,,,x1,y1,0.0,0.01,0.0,6.765967350999738,1.1916249990463257,10,models/model-6/20190603110645,12:16,False,False
20,,,,x1,y1,0.0,0.01,0.0,18.405317017218596,1.8472192287445068,10,models/model-6/20190603111901,7:28,True,False
21,,,,x1,y1,0.1,0.01,0.0,10.369599149225822,1.3716641664505005,10,models/model-6/20190603112629,7:51,False,True
22,,,,x1,y1,0.1,0.01,0.0,326.39178897524596,5.296383380889893,10,models/model-6/20190603113422,3:28,True,True
23,,,,x1,y1,0.1,0.01,0.0,9.592598372010757,1.3382638692855835,10,models/model-6/20190603113750,8:28,False,False
24,,,,x1,y1,0.1,0.01,0.0,21.202558877029453,1.8447288274765015,10,models/model-6/20190603114619,6:5,True,False
25,,,,x1,y1,0.0,0.01,1e-06,9.988527706035557,1.4184274673461914,10,models/model-6/20190603115225,6:54,False,True
26,,,,x1,y1,0.0,0.01,1e-06,25.525557161590203,2.1766574382781982,10,models/model-6/20190603115920,13:4,True,True
27,,,,x1,y1,0.0,0.01,1e-06,6.627522557046666,1.1646188497543335,10,models/model-6/20190603121224,12:38,False,False
28,,,,x1,y1,0.0,0.01,1e-06,10.67821659239808,1.4780503511428833,10,models/model-6/20190603122504,11:11,True,False
29,,,,x1,y1,0.1,0.01,1e-06,8.355922475238645,1.2743276357650757,10,models/model-6/20190603123615,19:28,False,True
30,,,,x1,y1,0.1,0.01,1e-06,20.14410659857385,1.797454833984375,10,models/model-6/20190603125544,8:55,True,True
31,,,,x1,y1,0.1,0.01,1e-06,8.306184585397498,1.2548526525497437,10,models/model-6/20190603130439,15:4,False,False
32,,,,x1,y1,0.1,0.01,1e-06,15.582782740755574,1.654162883758545,10,models/model-6/20190603131944,9:15,True,False
33,,,,x1,y1,0.0,0.001,0.0,5.7265641031052,1.036028504371643,10,models/model-6/20190603132901,16:28,False,True
34,,,,x1,y1,0.0,0.001,0.0,6.502644702003307,1.129133701324463,10,models/model-6/20190603134530,27:15,True,True
35,,,,x1,y1,0.0,0.001,0.0,5.138669547581002,0.9421234130859375,10,models/model-6/20190603141246,21:56,False,False
36,,,,x1,y1,0.0,0.001,0.0,5.6870872114063635,1.0445847511291504,10,models/model-6/20190603143443,26:26,True,False
37,,,,x1,y1,0.1,0.001,0.0,6.610918251749081,1.1139167547225952,10,models/model-6/20190603150110,21:0,False,True
38,,,,x1,y1,0.1,0.001,0.0,7.548803180058128,1.2119050025939941,10,models/model-6/20190603152210,29:52,True,True
39,,,,x1,y1,0.1,0.001,0.0,6.816236396864961,1.1132128238677979,10,models/model-6/20190603155203,24:44,False,False
40,,,,x1,y1,0.1,0.001,0.0,7.48625736363692,1.1987501382827759,10,models/model-6/20190603161647,30:47,True,False
41,,,,x1,y1,0.0,0.001,1e-06,5.5324307752566595,1.0133671760559082,10,models/model-6/20190603164735,17:31,False,True
42,,,,x1,y1,0.0,0.001,1e-06,6.126423176396611,1.0937016010284424,10,models/model-6/20190603170507,28:60,True,True
43,,,,x1,y1,0.0,0.001,1e-06,5.15726152960201,0.956666111946106,10,models/model-6/20190603173407,20:38,False,False
44,,,,x1,y1,0.0,0.001,1e-06,5.950613328923036,1.0764232873916626,10,models/model-6/20190603175446,24:18,True,False
