,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,cols_x,cols_y,dropout,learning_rate,learning_rate_decay,loss,mean_absolute_error,session,time,batch_norm,time_distributed,lstm_units,sequence_length,num_data_files,2nd_LSTM_layer
52,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,x3,y3,0.1,0.002,1e-06,7.71148553961999,1.1675907373428305,models/model-7/20190604085222,182:5,False,,160.0,160,4.0,
53,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,x3,y3,0.0,0.001,0.0,6.058173313381832,1.01626574993134,models/model-7/20190604115428,173:17,False,,160.0,160,2.0,
54,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,x3,y3,0.1,0.002,1e-07,6.86155517982595,1.1073101758956898,models/model-7/20190604144746,236:8,False,,130.0,130,4.0,
55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,x3,y3,0.0,0.001,1e-07,7.081096420394808,1.08434653282166,models/model-7/20190604184355,70:24,False,,70.0,70,2.0,
56,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,x3,y3,0.2,0.005,1e-06,34.2400134658634,2.33036875724792,models/model-7/20190604205547,17:54,False,,20.0,20,7.0,
57,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,x3,y3,0.1,0.005,1e-07,7.99418411255558,1.1707881689071695,models/model-7/20190604212514,95:55,False,,190.0,190,4.0,
58,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,x3,y3,0.0,0.005,1e-06,10.7489039765938,1.35367894172668,models/model-7/20190604230113,32:45,False,,140.0,140,1.0,
59,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,x3,y3,0.2,0.008,1e-07,26.0663858191254,1.92742788791657,models/model-7/20190604233400,6:46,False,,10.0,10,5.0,
60,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,x3,y3,0.0,0.008,1e-07,10.602957342120199,1.42257297039032,models/model-7/20190604234048,30:35,False,,130.0,130,5.0,
61,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,x3,y3,0.1,0.005,1e-07,11.0385586808551,1.4331918954849199,models/model-7/20190605001125,28:22,False,,20.0,20,8.0,
62,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,x3,y3,0.0,0.008,1e-06,7.71733629452305,1.23149168491364,models/model-7/20190605003948,94:14,False,,160.0,160,5.0,
63,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,x3,y3,0.1,0.008,1e-07,7.75269809185989,1.16290748119354,models/model-7/20190605021405,57:13,False,,60.0,60,6.0,
64,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,x3,y3,0.0,0.008,1e-07,10.4573007365444,1.4430185556411699,models/model-7/20190605031120,44:49,False,,190.0,190,7.0,
65,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,x3,y3,0.1,0.008,1e-07,7.33089317294163,1.11791920661926,models/model-7/20190605035609,137:15,False,,110.0,110,2.0,
66,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,x3,y3,0.0,0.005,1e-06,8.65618707751007,1.25316309928894,models/model-7/20190605061326,60:10,False,,190.0,190,5.0,
67,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,x3,y4,0.1,0.005,1e-06,9.00927371807636,1.1233814954757702,models/model-7/20190605084517,141:13,False,,190.0,190,2.0,
68,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,x3,y4,0.2,0.008,1e-06,15.901986231799901,1.41898918151856,models/model-7/20190605110634,40:49,False,,50.0,50,4.0,
69,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,x3,y4,0.2,0.005,1e-05,16.4800239613396,1.42071604728699,models/model-7/20190605114724,32:51,False,,100.0,100,2.0,
70,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,x3,y4,0.2,0.005,1e-07,22.6188191308467,1.59498715400696,models/model-7/20190605122017,12:52,False,,20.0,20,5.0,
71,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,x3,y4,0.1,0.005,1e-06,10.128742407704001,1.1677747964858998,models/model-7/20190605123311,47:47,False,,50.0,50,7.0,
72,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,x3,y4,0.1,0.008,1e-06,11.6156503474876,1.2740176916122399,models/model-7/20190605132059,33:41,False,,60.0,60,3.0,
73,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,x3,y4,0.1,0.008,1e-05,10.047148234463199,1.18116903305054,models/model-7/20190605135442,65:57,False,,80.0,80,3.0,
74,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,x3,y4,0.2,0.005,1e-06,18.779254577957,1.52781760692596,models/model-7/20190605150042,20:30,False,,30.0,30,7.0,
75,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,x3,y4,0.1,0.008,1e-07,9.35346862042141,1.1704325675964398,models/model-7/20190605152113,184:33,False,,190.0,190,5.0,
76,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,x3,y4,0.2,0.005,1e-05,10.7381539653564,1.18080258369446,models/model-7/20190605183717,124:0,False,,120.0,120,7.0,
77,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,x3,y4,0.2,0.008,1e-07,13.042155450167199,1.3119785785675,models/model-7/20190605204121,131:14,False,,190.0,190,4.0,
78,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,x3,y4,0.1,0.008,1e-06,12.106588063448601,1.28461110591888,models/model-7/20190605225236,43:57,False,,150.0,150,1.0,
79,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,x3,y4,0.1,0.005,1e-05,7.29845993996786,0.945614457130432,models/model-7/20190605233635,327:39,False,,160.0,160,4.0,
80,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,x3,y4,0.2,0.008,1e-07,15.9883292988292,1.4247575998306299,models/model-7/20190606050415,102:25,False,,170.0,170,5.0,
81,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,x3,y4,0.2,0.008,1e-05,13.480287179745801,1.3377714157104499,models/model-7/20190606064642,117:14,False,,130.0,130,6.0,
82,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,x3,y4,0.2,0.008,1e-07,35.2530213529491,1.78478348255157,models/model-7/20190606084357,67:56,False,,120.0,120,5.0,
83,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,x3,y4,0.1,0.005,1e-07,9.845377414874447,1.16255986690521,models/model-7/20190606095155,95:28,False,,110.0,110,5.0,
84,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,x3,y4,0.0,0.008,1e-06,9.01798574523545,1.18244004249573,models/model-7/20190606112724,84:9,False,,100.0,100,2.0,
85,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,x3,y4,0.1,0.005,1e-05,7.7870516378474495,1.0094568729400601,models/model-7/20190606125135,213:40,False,,140.0,140,7.0,
86,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,,x3,pitchAngle,0.1,0.005,1e-05,0.024863311067813285,0.10543017089366913,models/model-8/20190606223832,66:52,False,,200.0,200,4.0,
87,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,,,x3,wheelAccelRL,0.1,0.001,0.0,83.3283597663402,8.506710052490233,models/model-8/20190607000943,6:14,False,,200.0,200,4.0,
88,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,,,,x3,vyCG,0.1,0.005,1e-05,0.023090063497436204,0.08944018185138702,models/model-8/20190607002433,36:28,False,,200.0,200,4.0,
89,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,,,,x3,vyCG,0.1,0.005,5e-05,0.02191925780864404,0.08911532908678055,models/model-8/20190607010106,36:22,False,,200.0,200,4.0,
90,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,,,,x3,vxCG,0.1,0.005,1e-05,0.9563246419029628,0.5654236078262329,models/model-8/20190607013729,336:27,False,,200.0,200,4.0,
91,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,,,,x3,rollAngle,0.1,0.005,1e-05,0.09124861235351936,0.1997452676296234,models/model-8/20190607071357,67:3,False,,200.0,200,4.0,
92,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,,,,x3,pitchAngle,0.1,0.005,5e-05,0.0284282651101479,0.11312882602214812,models/model-8/20190607082101,42:32,False,,200.0,200,4.0,
93,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,,,,x3,rollAngle,0.1,0.005,5e-05,0.043814307786289516,0.1391352117061615,models/model-8/20190607090335,97:12,False,,200.0,200,4.0,
94,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,,,,x3,vxCG,0.1,0.005,5e-05,0.6005411360441262,0.4353996217250824,models/model-8/20190607104048,306:1,False,,200.0,200,4.0,
95,95.0,95.0,95.0,95.0,95.0,95.0,95.0,,,,,x3,yawAngle,0.1,0.005,1e-05,49.194037188038216,2.1633429527282715,models/model-8/20190607164735,190:5,False,,200.0,200,4.0,
96,96.0,96.0,96.0,96.0,96.0,96.0,,,,,,x3,yawAngle,0.1,0.005,3e-05,44.46110321225331,1.897676706314087,models/model-8/20190607202702,107:7,False,,200.0,200,4.0,False
